Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-10-30,15:00,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0.7,0.7,68,"53,014",Rúben Dias,4-3-3,4-3-3,Andre Marriner,Match Report,
2021-10-23,17:30,Matchweek 9,Sat,Away,W,4,1,Brighton,3.8,1.3,52,"31,215",İlkay Gündoğan,4-3-3,3-5-2,Kevin Friend,Match Report,
2021-10-16,15:00,Matchweek 8,Sat,Home,W,2,0,Burnley,2.1,0.9,70,"52,711",Kevin De Bruyne,4-3-3,4-4-2,Martin Atkinson,Match Report,
2021-10-03,16:30,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,0.9,51,"53,102",Rúben Dias,4-3-3,4-3-3,Paul Tierney,Match Report,
2021-09-25,12:30,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.2,59,"40,036",Rúben Dias,4-3-3,3-5-2,Michael Oliver,Match Report,
2021-09-18,15:00,Matchweek 5,Sat,Home,D,0,0,Southampton,1.0,0.4,64,"52,698",Fernandinho,4-3-3,4-4-2,Jonathan Moss,Match Report,
2021-09-11,15:00,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.8,0.6,61,"32,087",İlkay Gündoğan,4-3-3,4-2-3-1,Paul Tierney,Match Report,
2021-08-28,12:30,Matchweek 3,Sat,Home,W,5,0,Arsenal,4.4,0.2,80,"52,276",İlkay Gündoğan,4-3-3,5-4-1,Martin Atkinson,Match Report,
2021-08-21,15:00,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.6,0.1,67,"51,437",İlkay Gündoğan,4-3-3,4-3-3,Graham Scott,Match Report,
2021-08-15,16:30,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.8,1.0,65,"58,262",Fernandinho,4-3-3,4-3-3,Anthony Taylor,Match Report,
2021-05-23,16:00,Matchweek 38,Sun,Home,W,5,0,Everton,2.5,1.1,67,"10,000",Fernandinho,4-3-3,4-3-1-2,Michael Oliver,Match Report,
2021-05-18,19:00,Matchweek 37,Tue,Away,L,2,3,Brighton,0.9,1.1,37,"7,945",İlkay Gündoğan,4-3-3,3-5-2,Stuart Attwell,Match Report,
2021-05-14,20:00,Matchweek 36,Fri,Away,W,4,3,Newcastle Utd,1.5,2.2,82,,Raheem Sterling,4-3-3,5-3-2,Kevin Friend,Match Report,
2021-05-08,17:30,Matchweek 35,Sat,Home,L,1,2,Chelsea,1.8,0.7,48,,Raheem Sterling,3-1-4-2,3-4-3,Anthony Taylor,Match Report,
2021-05-01,12:30,Matchweek 34,Sat,Away,W,2,0,Crystal Palace,1.7,0.9,68,,Fernandinho,4-4-1-1,4-3-3,David Coote,Match Report,
2021-04-21,20:15,Matchweek 32,Wed,Away,W,2,1,Aston Villa,1.2,0.7,72,,İlkay Gündoğan,4-3-3,4-1-4-1,Peter Bankes,Match Report,
2021-04-10,12:30,Matchweek 31,Sat,Home,L,1,2,Leeds United,2.1,0.1,71,,Fernandinho,4-3-3,4-1-4-1,Andre Marriner,Match Report,
2021-04-03,17:30,Matchweek 30,Sat,Away,W,2,0,Leicester City,1.4,0.3,56,,Fernandinho,4-2-3-1,3-5-2,Anthony Taylor,Match Report,
2021-03-13,20:00,Matchweek 28,Sat,Away,W,3,0,Fulham,2.2,0.3,54,,Sergio Agüero,3-4-3,4-3-3,Andre Marriner,Match Report,
2021-03-10,18:00,Matchweek 33,Wed,Home,W,5,2,Southampton,2.6,1.6,58,,Fernandinho,4-3-3,4-4-2,Jonathan Moss,Match Report,
2021-03-07,16:30,Matchweek 27,Sun,Home,L,0,2,Manchester Utd,1.3,1.7,66,,Kevin De Bruyne,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,
2021-03-02,20:00,Matchweek 29,Tue,Home,W,4,1,Wolves,3.3,0.3,72,,Kevin De Bruyne,4-3-3,3-4-3,Chris Kavanagh,Match Report,
2021-02-27,12:30,Matchweek 26,Sat,Home,W,2,1,West Ham,0.5,1.5,63,,Fernandinho,4-3-3,3-4-3,Michael Oliver,Match Report,
2021-02-21,16:30,Matchweek 25,Sun,Away,W,1,0,Arsenal,1.8,0.3,55,,Fernandinho,4-3-3,4-2-3-1,Jonathan Moss,Match Report,
2021-02-17,20:15,Matchweek 16,Wed,Away,W,3,1,Everton,1.0,1.0,71,,Raheem Sterling,4-3-3,4-4-1-1,Andre Marriner,Match Report,
2021-02-13,17:30,Matchweek 24,Sat,Home,W,3,0,Tottenham,2.2,0.3,60,,Raheem Sterling,4-3-3,4-2-3-1,Paul Tierney,Match Report,
2021-02-07,16:30,Matchweek 23,Sun,Away,W,4,1,Liverpool,3.5,1.2,44,,Raheem Sterling,4-3-3,4-3-3,Michael Oliver,Match Report,
2021-02-03,18:00,Matchweek 22,Wed,Away,W,2,0,Burnley,2.0,0.1,74,,Raheem Sterling,4-3-3,4-4-2,Martin Atkinson,Match Report,
2021-01-30,15:00,Matchweek 21,Sat,Home,W,1,0,Sheffield Utd,1.5,0.2,75,,Fernandinho,4-3-3,5-3-2,David Coote,Match Report,
2021-01-26,20:15,Matchweek 20,Tue,Away,W,5,0,West Brom,1.8,0.5,77,,Raheem Sterling,4-3-3,4-4-1-1,Chris Kavanagh,Match Report,
2021-01-20,18:00,Matchweek 1,Wed,Home,W,2,0,Aston Villa,3.4,0.6,69,,Kevin De Bruyne,4-3-3,4-2-3-1,Jonathan Moss,Match Report,
2021-01-17,19:15,Matchweek 19,Sun,Home,W,4,0,Crystal Palace,0.7,0.1,71,,Fernandinho,4-3-3,4-1-4-1,Lee Mason,Match Report,
